Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,1,1,1.15,1.15,DAY,04/06/2023 15:26:49 EDT,04/06/2023 15:26:49 EDT
SPY 04/10/2023 00:00:00 EDT Put $407.00,SPY230410P00407000,Sell,Filled,1,1,1.31,1.31,DAY,04/06/2023 15:26:35 EDT,04/06/2023 15:26:35 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,1,1,1.15,1.15,DAY,04/06/2023 15:25:51 EDT,04/06/2023 15:25:51 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,1,1,1.25,1.25,DAY,04/06/2023 15:21:07 EDT,04/06/2023 15:21:07 EDT
SPY 04/10/2023 00:00:00 EDT Put $407.00,SPY230410P00407000,Sell,Filled,1,1,1.35,1.35,DAY,04/06/2023 15:21:00 EDT,04/06/2023 15:21:00 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,1,1,1.31,1.31,DAY,04/06/2023 15:19:16 EDT,04/06/2023 15:19:16 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,1,1,1.27,1.27,DAY,04/06/2023 15:18:02 EDT,04/06/2023 15:18:02 EDT
SPY 04/10/2023 00:00:00 EDT Put $407.00,SPY230410P00407000,Sell,Filled,1,1,1.36,1.36,DAY,04/06/2023 15:17:03 EDT,04/06/2023 15:17:03 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,1,1,1.27,1.27,DAY,04/06/2023 15:15:46 EDT,04/06/2023 15:15:46 EDT
SPY 04/10/2023 00:00:00 EDT Put $407.00,SPY230410P00407000,Sell,Filled,1,1,1.32,1.32,DAY,04/06/2023 15:12:02 EDT,04/06/2023 15:12:02 EDT
SPY 04/10/2023 00:00:00 EDT Put $407.00,SPY230410P00407000,Sell,Cancelled,0,4,@1.74,,DAY,04/06/2023 15:07:51 EDT,
SPY 04/10/2023 00:00:00 EDT Put $407.00,SPY230410P00407000,Sell,Cancelled,0,4,1.14,,DAY,04/06/2023 15:07:51 EDT,
SPY 04/10/2023 00:00:00 EDT Put $407.00,SPY230410P00407000,Buy,Filled,4,4,@1.24,1.24,DAY,04/06/2023 15:07:51 EDT,04/06/2023 15:07:51 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,4,@1.71,,DAY,04/06/2023 15:06:23 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,4,1.17,,DAY,04/06/2023 15:06:23 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Buy,Filled,4,4,@1.22,1.22,DAY,04/06/2023 15:06:23 EDT,04/06/2023 15:06:24 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,2,@1.57,,DAY,04/06/2023 15:02:04 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,2,1.17,,DAY,04/06/2023 15:02:04 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Buy,Filled,2,2,@1.21,1.21,DAY,04/06/2023 15:02:04 EDT,04/06/2023 15:02:05 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,2,@1.56,,DAY,04/06/2023 15:01:40 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,2,0.900,,DAY,04/06/2023 15:01:40 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Buy,Cancelled,0,2,@1.21,,DAY,04/06/2023 15:01:40 EDT,
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Filled,1,1,1.05,1.05,DAY,04/06/2023 14:58:50 EDT,04/06/2023 14:58:50 EDT
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Filled,1,1,1.06,1.06,DAY,04/06/2023 14:58:09 EDT,04/06/2023 14:58:09 EDT
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Filled,1,1,1.03,1.03,DAY,04/06/2023 14:57:41 EDT,04/06/2023 14:57:41 EDT
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Filled,1,1,1.02,1.02,DAY,04/06/2023 14:57:14 EDT,04/06/2023 14:57:15 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,2,@1.66,,DAY,04/06/2023 14:57:08 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,2,2,@1.19,1.19,DAY,04/06/2023 14:57:08 EDT,04/06/2023 15:05:47 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Buy,Filled,2,2,@1.28,1.28,DAY,04/06/2023 14:57:08 EDT,04/06/2023 14:57:08 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Cancelled,0,2,@1.66,,DAY,04/06/2023 14:57:06 EDT,
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Sell,Filled,2,2,@1.19,1.19,DAY,04/06/2023 14:57:06 EDT,04/06/2023 15:05:47 EDT
QQQ 04/10/2023 00:00:00 EDT Put $316.00,QQQ230410P00316000,Buy,Filled,2,2,@1.28,1.28,DAY,04/06/2023 14:57:06 EDT,04/06/2023 14:57:06 EDT
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Filled,1,1,0.850,0.850,DAY,04/06/2023 14:56:18 EDT,04/06/2023 14:56:18 EDT
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Cancelled,0,2,@1.16,,DAY,04/06/2023 14:45:21 EDT,
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Cancelled,0,2,0.660,,DAY,04/06/2023 14:45:21 EDT,
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Buy,Filled,2,2,@0.890,0.890,DAY,04/06/2023 14:45:21 EDT,04/06/2023 14:45:21 EDT
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Filled,1,1,0.900,0.900,DAY,04/06/2023 14:39:45 EDT,04/06/2023 14:39:46 EDT
QQQ 04/06/2023 00:00:00 EDT Put $319.00,QQQ230406P00319000,Sell,Cancelled,0,4,@1.18,,DAY,04/06/2023 14:34:27 EDT,
