acousticness,danceability,energy,speechiness,valence,BPM,song_title,artists,artists_url,date_added,album_cover,popularity,url,date_added_year
0.0209,0.854,0.806,0.0886,0.637,124.927,Do It To It,"ACRAZE,Cherish","4pnp4w9g30yLfVIAFnZMRd,1c70yCa8sRgIiQxl3HOEFo",2022-03-04,https://i.scdn.co/image/ab67616d0000b27384d413b195aac8a69cc6e5c6,95,20on25jryn53hWghthWWW3,2022
0.000422,0.636,0.892,0.0386,0.456,125.003,Do It To It - Tiësto Remix,"ACRAZE,Tiësto,Cherish","4pnp4w9g30yLfVIAFnZMRd,2o5jDhtHVPhrJdv3cEQ99Z,1c70yCa8sRgIiQxl3HOEFo",2022-02-27,https://i.scdn.co/image/ab67616d0000b273db1c0e4ee302630ada0cf4af,69,2XKsHHNCtKqk9cF35TRFyC,2022
0.019,0.799,0.653,0.037,0.236,104.019,Freaky Deaky,"Tyga,Doja Cat","5LHRHt1k9lMyONurDHEdrp,5cj0lLjcoR7YOSnhnX0Po5",2022-02-27,https://i.scdn.co/image/ab67616d0000b2739d272936b9368c8d7fd2e6ef,81,3vySEUpD0tc801F2WZDLYw,2022
0.0479,0.613,0.814,0.0363,0.391,92.489,Nightmare,K-391,6pWcSL9wSJZQ9ne0TnhdWr,2022-02-26,https://i.scdn.co/image/ab67616d0000b2739f4a6206ea2b56b1f165ebd7,52,4gju0eLLPyroDWo12jCvkp,2022
0.923,0.652,0.15,0.0363,0.361,104.018,If I Ain't Got You - Acoustic,John Adams,4LaimQU44rsz2kMWQmY6Bi,2022-02-21,https://i.scdn.co/image/ab67616d0000b273d2f483a55b60cc858e2e8f4e,54,6hy5eqMQ36KAChR1ZZ05zc,2022
0.603,0.609,0.444,0.106,0.166,118.402,If I Ain't Got You,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,2022-02-21,https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b,83,3XVBdLihbNbxUwZosxcGuJ,2022
0.315,0.673,0.512,0.0495,0.588,100.967,Lost At Sea (Illa Illa 2),"B.I,Bipolar Sunshine,Afgan","0UntV1Bw2hk3fbRrm9eMP6,0CjWKoS55T7DOt0HJuwF1H,4cgBCGxtlfap2g6jveB7du",2022-02-20,https://i.scdn.co/image/ab67616d0000b2730c6c9af1c4b0b549febaba70,61,3sheUbqssFt6H7JGWfZFK5,2022
0.0165,0.622,0.954,0.0524,0.457,125.081,When I'm Gone (with Katy Perry) [VIP Mix],"Alesso,Katy Perry","4AVFqumd2ogHFlRbKIjp1t,6jJ0s89eD6GaHleKKya26X",2022-02-20,https://i.scdn.co/image/ab67616d0000b273b5b2ddffe2073697134ab0e2,68,53y02rkTgMKgaJihn2Y2jE,2022
0.643,0.599,0.465,0.0314,0.0678,113.82,Control,Zoe Wees,03d2mJXSMtuPI0nIvLnhoS,2022-02-19,https://i.scdn.co/image/ab67616d0000b273399b7c2f3ef2a17d47a68c04,81,50Td3qilgs8BLtv8mHyT1t,2022
0.463,0.498,0.778,0.0508,0.182,149.89,Moments,"MitiS,Adara","16yUpGkBRgc2eDMd3bB3Uw,3ZejoaXlP3oqmmTseylLDY",2022-02-17,https://i.scdn.co/image/ab67616d0000b273f07ec8cd2cac079d9f23d893,56,4mj0eDXQaPjTIub0CI9dpW,2022
0.0252,0.656,0.846,0.0543,0.413,89.972,redruM,"Sorana,David Guetta","1PnnRNGfichOAfPOn5mVyx,1Cs0zKBU1kc0i8ypK3B9ai",2022-02-16,https://i.scdn.co/image/ab67616d0000b273fccf79dbb8ead0ca0ec11e5e,58,61GiI9dxYfVJLcsowslTRK,2022
0.0789,0.4,0.485,0.0369,0.211,159.909,Walk Me Home,"Said The Sky,ILLENIUM,Chelsea Cutler","4LZ4De2MoO3lP6QaNCfvcu,45eNHdiiabvmbp4erw26rg,5JMLG56F1X5mFmWNmS0iAp",2022-02-16,https://i.scdn.co/image/ab67616d0000b2731a15fe1c0e41a68f1eeaec4d,72,2qTtA6lgLLwfuYphfT4f8C,2022
0.432,0.784,0.439,0.0357,0.491,129.981,半島鐵盒,Jay Chou,2elBjNSdBE2Y3f0j1mjrql,2022-02-09,https://i.scdn.co/image/ab67616d0000b273232dc81fb2366f36301792eb,53,4XjGz4IxIJ6tYk9tDIid8w,2022
0.105,0.478,0.843,0.0271,0.375,96.69,Ghost Of My Past,"Vicetone,Emily Falvey","0daugAjUgbJSqdlyYNwIbT,6w24INVHBGMRpk6xn6xIpi",2022-02-08,https://i.scdn.co/image/ab67616d0000b27334330e5556a44306fcbdc4cc,36,0zDftqIhxEhl9AfGiCvgGh,2022
0.227,0.803,0.446,0.285,0.536,120.163,Empty Love,"GRACEY,Ruel","7xBGi7Eign0fX7jGQj5KlJ,5xkAtLTf309LAGZTbvULBn",2022-01-30,https://i.scdn.co/image/ab67616d0000b27362aa4cf39eeabedade86ddad,55,2iqIjiKVQ6p7zdp9pqAeUL,2022
0.222,0.621,0.747,0.0337,0.426,124.015,Don’t Wake Me Up,"Jonas Blue,Why Don't We","1HBjj22wzbscIZ9sEb5dyf,2jnIB6XdLvnJUeNTy5A0J2",2022-01-28,https://i.scdn.co/image/ab67616d0000b2733b87502d97343664ebe19d68,54,4BwFjIlPTxZajmwN5tREiM,2022
0.719,0.686,0.387,0.0347,0.585,94.996,失眠飛行,"接個吻，開一槍,沈以誠,薛明媛","16ZZP6pyyGCHccu8W9gs0Z,1WrIe6XUiiU9KovVimwqpE,7j15ACuH4YxdpLiuBHvFAv",2022-01-25,https://i.scdn.co/image/ab67616d0000b2736f73c003e62d3eb03fe5906a,58,4YnIDovoMJziwjW8oZZesQ,2022
0.00156,0.414,0.82,0.0751,0.123,125.871,Into The Fire,"Matisse & Sadko,Arsnøvä","2QMCcKIPHnjQaPPgoEst88,3vhqqkOtusdgbpr9336aFA",2022-01-22,https://i.scdn.co/image/ab67616d0000b273c50c6b337187e583f202e372,49,2pkLSXs8Wv9Xe3aiCR7K5p,2022
0.0301,0.573,0.751,0.038,0.418,126.012,Afterglow,"Nicky Romero,GATTÜSO,Jared Lee","5ChF3i92IPZHduM7jN3dpg,3PlRvQnVE3XAbtHUNc4nic,7cBPcPEdhDWIoFX6BDvw1b",2022-01-18,https://i.scdn.co/image/ab67616d0000b27333bc780460d6faa9ba3d140c,60,4oDm90OxoKSOSoJIL9eYVc,2022
0.0608,0.551,0.795,0.0567,0.332,127.972,Tired - Steerner & Tobu Remix,"Alan Walker,Gavin James,Tobu,Steerner","7vk5e3vY1uw9plTHJAMwjN,25tMQOrIU4LlUo6Sv8v5SE,1feoGrmmD8QmNqtK2Gdwy8,1TMa2M8BSbJP1rqX83wALz",2022-01-13,https://i.scdn.co/image/ab67616d0000b273bd6315a8b3d371b710f2e986,34,3ghuZcBkziLf0HU8TktqM4,2022
0.0335,0.527,0.845,0.121,0.554,128.023,Angels - Radio Edit,"Vicetone,Kat Nestel","0daugAjUgbJSqdlyYNwIbT,2S5DXnDpQlpDXFUcvqAb4E",2022-01-05,https://i.scdn.co/image/ab67616d0000b273690b407ea4274747af24db68,61,4IBkR62QBXApyiI2rIRZzS,2022
0.886,0.441,0.325,0.0249,0.208,83.848,裂心,Leehom Wang,2F5W6Rsxwzg0plQ0w8dSyt,2022-01-02,https://i.scdn.co/image/ab67616d0000b2730285467d757f8884107b6fdd,34,1rKncsEO5IqIQlkAauKB7o,2022
0.0205,0.614,0.921,0.0625,0.427,127.964,Coming Home,"Dimitri Vangelis & Wyman,Mike Perry","10hGPIDZi33LRaYRIq3Bh4,6lB8vOoI4DRrrVxXwuV19c",2021-12-31,https://i.scdn.co/image/ab67616d0000b27336fd8b3751a4a14b47a382ac,68,3LkdTjyywksp2Zr1yqJS6d,2021
0.226,0.629,0.56,0.0247,0.224,106.764,痴心絕對,Sam Lee,7ya3wFqG9X35S7L7XSrE2i,2021-12-31,https://i.scdn.co/image/ab67616d0000b273e34baf069252392938495697,55,0D0n4q2o54VTOmDJdL6ikY,2021
0.69,0.677,0.5,0.0265,0.375,149.784,後來,Rene Liu,6qzfo7jiO4OrhxrvPFPlWX,2021-12-31,https://i.scdn.co/image/ab67616d0000b273794c74a4950a105ffe3be4ed,58,2wzXhxWPX0aODraKNXoJYY,2021
0.0282,0.656,0.853,0.0289,0.175,126.017,Squid Game (Let's Play),Alok,0NGAZxHanS9e0iNHpR8f2W,2021-12-29,https://i.scdn.co/image/ab67616d0000b2730e94f81997cd6c9047a6bf51,59,3kewDExeHWRPVAUzYd1lTG,2021
0.213,0.662,0.413,0.0299,0.467,93.005,WITHOUT YOU,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,2021-12-28,https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02,85,27OeeYzk6klgBh83TSvGMA,2021
0.216,0.566,0.581,0.043,0.152,130.043,Just Look Up (From Don’t Look Up),"Ariana Grande,Kid Cudi","66CXWjxzNUsdJxJ2JdwvnR,0fA0VVWsXO9YnASrzqfmYu",2021-12-26,https://i.scdn.co/image/ab67616d0000b2739675cabe34ef4cc14556ea35,78,3QPBocWfIcOCdFFvmqn60F,2021
0.0138,0.515,0.719,0.0349,0.319,95.035,Close Your Eyes - VIP Mix,"KSHMR,Tungevaag","2wX6xSig4Rig5kZU6ePlWe,49CE2ffZ6Z3zeYSDauSKck",2021-12-25,https://i.scdn.co/image/ab67616d0000b273d6c4796e11df7ab5b94c8b62,56,6JYbfA8kwEAQesToLmP34V,2021
0.0209,0.661,0.851,0.102,0.429,128.022,Most People - R3HAB VIP Remix,"R3HAB,Lukas Graham","6cEuCEZu7PAE9ZSzLLc2oQ,25u4wHJWxCA9vO0CzxAbK7",2021-12-24,https://i.scdn.co/image/ab67616d0000b273144b89542101d402c4c85bb3,42,1u2mUoaE3E2Vja4Wlrsmi2,2021
0.488,0.773,0.699,0.0958,0.513,104.941,Hope,"The Chainsmokers,Winona Oak","69GGBxA162lTqCwzJG5jLp,3XC57xz74X3xUi1hv4mge1",2021-12-21,https://i.scdn.co/image/ab67616d0000b2738e26bf4293c9da7a6439607b,70,4BiiOzZCrXEzHRLYcYFiD5,2021
0.791,0.585,0.274,0.0717,0.471,81.37,Christmas Got Colder,Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,2021-12-21,https://i.scdn.co/image/ab67616d0000b273736883289146d2067ac915b6,47,5OOavrga0WgJlOei52P9h1,2021
0.178,0.843,0.39,0.0846,0.495,129.972,Lalala,"Y2K,bbno$","6USMTwO0MNDnKte5a5h0xx,41X1TR6hrK8Q2ZCpp2EqCz",2021-12-18,https://i.scdn.co/image/ab67616d0000b2738a6ccb507dd6a66f7f6e2440,79,51Fjme0JiitpyXKuyQiCDo,2021
